                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00091,                0.00012,                    nan,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     40,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00095,                0.00013,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     41,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00097,                0.00013,                    nan,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     42,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00086,                0.00012,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     43,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00098,                0.00018,                    nan,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     44,                    nan,                    nan,                    nan,                0.00098,                0.22727,                0.00111,                0.00014,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     45,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00094,                0.00013,                    nan,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     46,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00093,                0.00013,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     47,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00096,                0.00017,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     48,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00089,                0.00017,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     49,                    nan,                    nan,                    nan,                0.00078,                0.18182,                 0.0009,                0.00017,                    nan,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     50,                    nan,                    nan,                    nan,                0.00098,                0.22727,                0.00103,                0.00019,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     51,                    nan,                    nan,                    nan,                0.00078,                0.18182,                 0.0005,                  9e-05,                    nan,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                     52,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00049,                  9e-05,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     53,                    nan,                    nan,                    nan,                0.00098,                0.22727,                0.00063,                0.00012,                    nan,                    nan,                    nan,              0.0009902,              0.0009902,              0.0009902
                     54,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00049,                 0.0001,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     55,                    nan,                    nan,                    nan,                0.00098,                0.22727,                0.00063,                0.00012,                    nan,                    nan,                    nan,              0.0009506,              0.0009506,              0.0009506
                     56,                    nan,                    nan,                    nan,                0.00098,                0.22727,                0.00063,                0.00012,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     57,                    nan,                    nan,                    nan,                0.00118,                0.27273,                0.00119,                0.00018,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     58,                    nan,                    nan,                    nan,                0.00078,                0.18182,                 0.0009,                0.00013,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     59,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00035,                  9e-05,                    nan,                    nan,                    nan,              0.0008714,              0.0008714,              0.0008714
                     60,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00088,                0.00014,                    nan,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     61,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00087,                0.00017,                    nan,                    nan,                    nan,              0.0008318,              0.0008318,              0.0008318
                     62,                    nan,                    nan,                    nan,                0.00098,                0.22727,                0.00099,                0.00018,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     63,                    nan,                    nan,                    nan,                0.00118,                0.27273,                0.00113,                0.00016,                    nan,                    nan,                    nan,              0.0007922,              0.0007922,              0.0007922
                     64,                    nan,                    nan,                    nan,                0.00118,                0.27273,                0.00133,                0.00023,                    nan,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                      1,                 2.2339,                 3.0438,                 2.2059,                0.00314,                0.72727,                 0.2214,                0.06598,                 2.2313,                 3.5635,                 2.3919,                0.00038,                0.00038,                0.00038
                      2,                 1.8138,                 2.6102,                 1.8655,                0.00294,                0.68182,                0.14183,                0.04139,                 2.6301,                 3.6203,                  2.684,             0.00077228,             0.00077228,             0.00077228
                      3,                 1.9083,                 2.5143,                 1.8823,                 0.0374,                0.27273,                0.03864,                0.01057,                  3.003,                 4.0652,                 3.0265,              0.0011566,              0.0011566,              0.0011566
                      4,                 1.9198,                   2.54,                 1.8625,                0.12572,                0.40909,                0.10904,                0.03444,                 2.5588,                 3.1664,                 2.5383,              0.0015331,              0.0015331,              0.0015331
                      5,                 1.8663,                 2.6623,                   1.97,                0.14428,                0.31818,                0.07791,                0.02531,                 2.6177,                 3.0597,                 2.5404,              0.0019016,              0.0019016,              0.0019016
                      6,                 1.9077,                 2.5149,                   1.94,                0.21822,                0.27273,                0.11728,                0.03994,                 2.8172,                  6.036,                  3.341,               0.001901,               0.001901,               0.001901
                      7,                 2.0242,                 2.5399,                 1.9389,                0.27106,                0.31818,                0.16436,                0.04275,                 2.5126,                 5.0389,                 2.9471,               0.001901,               0.001901,               0.001901
                      8,                 1.9939,                  2.491,                 1.9012,                0.20695,                0.36364,                0.15856,                0.05298,                 2.7809,                 12.957,                 4.0552,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.9462,                 2.3894,                 1.9688,                0.34928,                0.36364,                0.23097,                0.09224,                 2.0903,                 7.5487,                 2.6415,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.9035,                 2.3396,                 1.8891,                0.45115,                0.31818,                0.23102,                0.07082,                 2.2658,                  3.327,                    2.5,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.0137,                 2.3499,                 2.0066,                0.09377,                0.22727,                0.05347,                0.01692,                 2.5019,                 4.3832,                 2.7128,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.9595,                 2.3074,                 1.9637,                0.09271,                0.27273,                0.06802,                  0.018,                 2.6093,                 4.9665,                 3.3639,               0.001802,               0.001802,               0.001802
