                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4043,                 1.5222,                0.87407,                0.00671,                    0.5,                0.06493,                0.05663,                0.82262,                 3.4051,                0.89341,               0.000376,               0.000376,               0.000376
                     36,                 1.3527,                 1.7236,                0.99821,                0.00671,                    0.5,                0.06493,                0.05663,                0.82262,                 3.4051,                0.89341,             0.00038128,             0.00038128,             0.00038128
                     37,                  1.302,                 1.7031,                0.98983,                0.00702,                    0.5,                0.10207,                0.08905,                0.83693,                 3.4016,                0.90203,             0.00038624,             0.00038624,             0.00038624
                     38,                 1.3177,                 1.9037,                 1.0389,                0.00702,                    0.5,                0.10207,                0.08905,                0.83693,                 3.4016,                0.90203,             0.00039086,             0.00039086,             0.00039086
                     39,                 1.2585,                    1.7,                0.92877,                0.00748,                      1,                0.12047,                0.09454,                0.90257,                 3.3955,                0.90656,             0.00039515,             0.00039515,             0.00039515
                     40,                 1.1806,                 1.6605,                  0.932,                0.00748,                      1,                0.12047,                0.09454,                0.90257,                 3.3955,                0.90656,             0.00039911,             0.00039911,             0.00039911
                     41,                   1.08,                 1.6215,                 0.8957,                0.00719,                    0.5,                0.11852,                0.08282,                0.99969,                 3.4072,                0.92341,             0.00040275,             0.00040275,             0.00040275
                     42,                 1.0944,                 1.6881,                0.99178,                0.00719,                    0.5,                0.11852,                0.08282,                0.99969,                 3.4072,                0.92341,             0.00040605,             0.00040605,             0.00040605
                     43,                 1.1151,                 1.7158,                 1.0146,                0.00725,                    0.5,                0.11873,                0.08287,                0.99121,                 3.4504,                 0.9255,             0.00040902,             0.00040902,             0.00040902
                     44,                 1.1718,                 1.8343,                 1.0277,                0.00725,                    0.5,                0.11873,                0.08287,                0.99121,                 3.4504,                 0.9255,             0.00041166,             0.00041166,             0.00041166
                     45,                 1.1548,                 1.7753,                0.88602,                0.00739,                    0.5,                0.11886,                0.08295,                0.96113,                 3.4518,                0.92236,             0.00041398,             0.00041398,             0.00041398
                     46,                 1.0448,                 1.5951,                0.83034,                0.00739,                    0.5,                0.11886,                0.08295,                0.96113,                 3.4518,                0.92236,             0.00041596,             0.00041596,             0.00041596
                     47,                 1.0385,                  1.788,                 0.9559,                0.00729,                    0.5,                0.11875,                0.08605,                 0.8727,                 3.4087,                0.91412,             0.00041761,             0.00041761,             0.00041761
                     48,                  1.011,                 1.5434,                0.88816,                0.00729,                    0.5,                0.11875,                0.08605,                 0.8727,                 3.4087,                0.91412,             0.00041893,             0.00041893,             0.00041893
                     49,                0.88395,                 1.5242,                0.96711,                0.00702,                    0.5,                0.25621,                0.20683,                0.89699,                 3.2936,                0.92178,             0.00041992,             0.00041992,             0.00041992
                     50,                 1.0516,                 1.4433,                0.97835,                0.00702,                    0.5,                0.25621,                0.20683,                0.89699,                 3.2936,                0.92178,             0.00042059,             0.00042059,             0.00042059
                     51,                  1.006,                 1.2583,                0.90342,                0.00709,                    0.5,                0.34802,                0.25624,                0.92954,                   3.19,                0.96969,             0.00042092,             0.00042092,             0.00042092
                     52,                 1.1355,                 1.6539,                0.97836,                0.00709,                    0.5,                0.34802,                0.25624,                0.92954,                   3.19,                0.96969,             0.00042092,             0.00042092,             0.00042092
                     53,                0.97954,                 1.1871,                0.98723,                0.00687,                    0.5,                0.34877,                0.26811,                0.87529,                 3.1042,                0.95209,             0.00042059,             0.00042059,             0.00042059
                     54,                0.86438,                 1.3922,                0.89824,                0.00687,                    0.5,                0.34877,                0.26811,                0.87529,                 3.1042,                0.95209,             0.00041993,             0.00041993,             0.00041993
                     55,                 1.2167,                 1.5894,                 1.0202,                0.00646,                    0.5,                0.40841,                0.29384,                0.84149,                 3.0494,                0.92902,             0.00041894,             0.00041894,             0.00041894
